,Model Year,EV_type,count,median,p25,p75,min,max,mean
0,2010,BEV,22,245.0,245.0,245.0,245.0,245.0,245.0
1,2010,PHEV,2,100.0,100.0,100.0,100.0,100.0,100.0
2,2011,BEV,566,73.0,73.0,73.0,56.0,245.0,75.54946996466431
3,2011,PHEV,71,35.0,35.0,35.0,35.0,35.0,35.0
4,2012,BEV,647,73.0,73.0,73.0,62.0,265.0,107.13446676970634
5,2012,PHEV,800,35.0,6.0,35.0,6.0,35.0,21.67125
6,2013,BEV,2600,75.0,75.0,208.0,68.0,208.0,110.43230769230769
7,2013,PHEV,1540,19.0,19.0,38.0,6.0,38.0,25.913636363636364
8,2014,BEV,1629,84.0,84.0,208.0,58.0,208.0,127.80294659300183
9,2014,PHEV,1712,38.0,19.0,38.0,6.0,72.0,33.5321261682243
10,2015,BEV,3310,84.0,84.0,208.0,68.0,208.0,119.007250755287
11,2015,PHEV,1282,19.0,19.0,38.0,6.0,72.0,33.96411856474259
12,2016,BEV,3573,93.0,84.0,210.0,62.0,210.0,136.32269801287433
13,2016,PHEV,1715,19.0,16.0,27.0,10.0,72.0,26.997667638483964
14,2017,BEV,4752,210.0,107.0,238.0,57.0,238.0,186.43686868686868
15,2017,PHEV,4005,25.0,21.0,53.0,8.0,97.0,37.66516853932584
16,2018,BEV,10195,215.0,215.0,215.0,58.0,249.0,210.65100539480136
17,2018,PHEV,4360,26.0,21.0,47.0,8.0,97.0,33.32178899082569
18,2019,BEV,8968,220.0,204.0,238.0,29.0,289.0,210.06077163247102
19,2019,PHEV,2056,25.0,17.0,29.0,10.0,126.0,31.361867704280154
20,2020,BEV,10466,291.0,259.0,293.0,149.0,337.0,276.330785400344
21,2020,PHEV,1872,25.0,20.0,29.0,12.0,126.0,27.727029914529915
22,2021,BEV,16403,215.0,215.0,215.0,110.0,233.0,214.39248917880875
23,2021,PHEV,4310,25.0,18.0,32.0,14.0,153.0,28.00603248259861
24,2022,BEV,24527,215.0,215.0,215.0,215.0,215.0,215.0
25,2022,PHEV,4754,30.0,22.0,32.0,14.0,42.0,28.885780395456457
26,2023,BEV,52214,215.0,215.0,215.0,215.0,215.0,215.0
27,2023,PHEV,7059,32.0,25.0,34.0,13.0,51.0,30.599518345374698
28,2024,BEV,39634,215.0,215.0,215.0,215.0,308.0,215.1955644143917
29,2024,PHEV,10076,32.0,25.0,39.0,6.0,59.0,31.91871774513696
30,2025,BEV,17846,215.0,215.0,215.0,215.0,215.0,215.0
31,2025,PHEV,5473,35.0,29.0,40.0,1.0,60.0,34.74237164260917
